ID,SumLoad,NormLoad,AvgLoad,NormRatio,Country,State,SiteName
725210_TMY2,"[965.78963686 837.97883666 814.10463948 719.23784154 671.95198329
 584.59752618 671.47556929 625.73338668 643.96071647 742.43476655
 792.72020994 927.40010344]","[1.         0.86766186 0.84294199 0.74471481 0.69575398 0.60530524
 0.69526069 0.64789822 0.6667712  0.76873342 0.82080008 0.96025063]","[1.29810435 1.24699232 1.09422667 0.99894145 0.90316127 0.81194101
 0.90252093 0.8410395  0.89438988 0.99789619 1.10100029 1.24650552]",965.7896368584442,USA,OH,Akron
703610_TMY2,"[973.42072015 846.03950228 841.65121165 757.47434358 715.01955455
 623.49715231 625.82344136 580.25930304 667.55084075 782.04628233
 834.77412741 945.67743646]","[1.         0.86914063 0.86463252 0.7781572  0.73454318 0.64052176
 0.64291157 0.5961033  0.68577834 0.80340008 0.85756766 0.97149919]","[1.30836118 1.25898735 1.13125163 1.0520477  0.96104779 0.86596827
 0.84116054 0.77991842 0.92715395 1.05113748 1.15940851 1.27107182]",973.4207201539838,USA,AK,Yakutat
723170_TMY2,"[1209.15176655 1053.87455099 1043.41140351  920.72680708  852.14976698
  989.91218301 1197.60540531 1125.97174733 1011.32773451  979.73425393
  994.48690335 1122.35971574]","[1.         0.8715817  0.8629284  0.76146505 0.70475005 0.81868315
 0.99045086 0.93120796 0.83639437 0.81026574 0.82246657 0.92822071]","[1.62520399 1.5682657  1.40243468 1.27878723 1.14536259 1.37487803
 1.60968468 1.51340289 1.40462185 1.31684712 1.38123181 1.50854801]",1209.1517665519684,USA,NC,Greensboro
744860_TMY2,"[1235.23406583 1072.72386219 1071.74847686  942.93826094  857.82406236
  883.11207259 1124.4689822   995.97581176  944.25751428  930.16568806
 1006.13213016 1133.30350617]","[1.         0.86843773 0.86764809 0.76336808 0.69446276 0.714935
 0.91032867 0.80630533 0.7644361  0.75302788 0.81452751 0.91748077]","[1.66026084 1.59631527 1.44052215 1.30963647 1.15298933 1.22654455
 1.51138304 1.33867717 1.31146877 1.2502227  1.39740574 1.5232574 ]",1235.2340658330927,USA,NY,New York City-Central Park
702610_TMY2,"[1127.57246043  974.92767183  929.33555194  784.57866755  695.01246264
  594.60838053  610.70195344  580.28761858  675.84930355  832.40437822
  943.62962706 1083.25890226]","[1.         0.8646253  0.82419142 0.69581219 0.61637942 0.52733496
 0.54160772 0.51463444 0.59938437 0.73822695 0.83686828 0.96070004]","[1.51555438 1.45078523 1.24910692 1.08969259 0.93415654 0.82584497
 0.82083596 0.77995648 0.93867959 1.11882309 1.3105967  1.45599315]",1127.57246043302,USA,AK,Fairbanks
723230_TMY2,"[1206.47779384 1039.22655774 1032.61019218  922.56459702  897.20894881
 1119.09569824 1287.32386201 1178.90554637 1041.92442059  957.89774778
  986.21481721 1116.31701706]","[0.93719835 0.8072767  0.80213707 0.71665307 0.69695667 0.86931947
 1.         0.91578008 0.80937241 0.74410005 0.7660969  0.86716098]","[1.62160994 1.54646809 1.38791692 1.28133972 1.20592601 1.55429958
 1.73027401 1.58455047 1.44711725 1.28749697 1.3697428  1.5004261 ]",1287.3238620109146,USA,AL,Huntsville
722180_TMY2,"[1177.90816193 1030.4542494  1030.89768173  919.51776607  934.9981781
 1108.76952994 1300.25201161 1256.06845508 1115.35791988  973.87987626
  981.54244462 1092.73622763]","[0.90590759 0.79250348 0.79284452 0.70718427 0.71908997 0.85273433
 1.         0.96601924 0.85780134 0.74899317 0.75488631 0.84040341]","[1.5832099  1.53341406 1.38561516 1.27710801 1.25671798 1.53995768
 1.74765055 1.68826405 1.54910822 1.30897833 1.3632534  1.46873149]",1300.2520116075248,USA,GA,Augusta
724380_TMY2,"[952.83752458 836.01806041 802.63159384 704.29382581 663.04580526
 644.36682968 744.12708062 675.28208682 635.39171721 732.65564659
 791.25383672 930.53313749]","[1.         0.87739834 0.84235935 0.73915417 0.6958645  0.67626097
 0.78095904 0.70870644 0.66684162 0.76891981 0.83041843 0.97659162]","[1.2806956  1.24407449 1.07880591 0.97818587 0.8911906  0.89495393
 1.00017081 0.90763721 0.8824885  0.98475221 1.09896366 1.25071658]",952.8375245754854,USA,IN,Indianapolis
726350_TMY2,"[976.8082233  855.64300334 830.68471835 731.42285718 674.75864231
 583.49609327 647.20348724 607.00484704 651.02950393 752.4041297
 799.92954024 943.77499915]","[1.         0.87595803 0.85040717 0.7487886  0.69077904 0.59734969
 0.66256965 0.6214166  0.66648651 0.77026801 0.81892179 0.96618249]","[1.31291428 1.27327828 1.11651172 1.01586508 0.90693366 0.81041124
 0.86989716 0.81586673 0.90420764 1.01129587 1.11101325 1.26851478]",976.8082233001227,USA,MI,Grand Rapids
723140_TMY2,"[1183.97711822 1043.5129723  1034.12103609  925.72620343  887.7054706
 1005.4757013  1289.5912443  1156.60512031 1097.44235776  974.19158394
  982.40198556 1108.58179745]","[0.91810263 0.80918119 0.80189831 0.71784467 0.68836189 0.77968558
 1.         0.89687731 0.85100016 0.75542664 0.76179331 0.85963812]","[1.59136709 1.55284668 1.38994763 1.28573084 1.19315251 1.39649403
 1.73332156 1.55457677 1.5242255  1.30939729 1.3644472  1.4900293 ]",1289.591244297683,USA,NC,Charlotte
